"Release Date
(Packaging)",ES Release Date,VN Release Date,EzServer,Status,Stage,AxisY,"Included
EzWebServer",Supporting CleverOne,"Supporting
EzDent-i","Supporting
Ez3D-i","Supporting
EzOrtho","Supporting
EzMobile","Supporting
EzDent Web",Supporting EzDent Web for Tablet,Supporting EzCommonTools,"Supporting
EzGate",Supporting Ez-iScan,Comment,Link,E2 DB,E3 DB,SC DB,IMPLANT DB,LOG DB,SETTING DB,EzOrtho Data Version,Service Config File Format,DB Accounts Revision,VTDBConfig.ini version,EIF Version,EzServer Installer,EzServer AuthProvider,EzServer LicenseManager,EzServer Messenger,EzServer Updater,EzServer REST API v2,EzServer WebConsole,EzLauncher,EzServer OpenSource Licenses,EzServer License Manager Frontend,EzServer Updater Frontend,Sharing Manager (EzCloud v0.9),EzServer Manager App,EzServer Manager Service,EzServer Control Panel,EzServer Service,VTDBBackup,Password Init Tool,DB,PMS Integration REST API Version,PMS Integration AMQP protocol version,nginx,php,dcmtk,node,Qt,ffmpeg,7z,ImageMagick,OpenSSL,LexFloatServer,LexActivator,SHA256,"EzServer PI Disposer
(Not Inclued)",EzServer Migration Tool (Not Included),"EzCommonTools
(Not Included)"
2026-06-22,,,v6.4.0.0,Unreleased,FCS,10,v6.4.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,,,v6.4.0.b1,Unreleased,Beta,-20,v6.4.0.b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,,,v6.4.0.a1,Unreleased,Alpha,-30,v6.4.0.a1,,,,,,,,,,,,,v35,v10,v12,v11,v2,v14,v8,v8,r2,v3,v2,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v6.4.0,v0.9.0,N/A,N/A,v6.4.0.0,v6.4.0.0,v6.4.0.0,v6.4.0.0,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),,v6.3.0,v1.0.0.3,v2.0.1.0
2026-04-09,,,v6.3.1.3,Unreleased,FCS,40,v6.3.1.3,~ v1.5.0.4,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,"Green X Plus, Green X 12 Plus calibration 값 추가",,v34,v10,v12,v11,v2,v14,v8,v8,r2,v3,v2,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v0.9.0,N/A,N/A,v6.3.1.3,v6.3.1.3,v6.3.1.3,v6.3.1.3,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),c953b7d39578153e4d6192f87dd9bfd9d5dc968300cb051beaf6cf4de2cec6de,v6.3.0,v1.0.0.3,v2.0.1.0
2026-03-26,,,v6.3.1.2,Released,FCS,30,v6.3.1.2,~ v1.5.0.4,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,,,v34,v10,v12,v11,v2,v14,v8,v8,r2,v3,v2,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v0.9.0,N/A,N/A,v6.3.1.2,v6.3.1.2,v6.3.1.2,v6.3.1.2,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),803cec1adbb0f65f42a5d5c1b683e15ed53a10f8b93946039b8373cfc6a849b7,v6.3.0,v1.0.0.3,v2.0.1.0
2026-03-16,,,v6.3.1.1,Released,FCS,20,v6.3.1.1,~ v1.5.0.4,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,,,v34,v10,v12,v11,v2,v14,v8,v8,r2,v3,v2,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v0.9.0,N/A,N/A,v6.3.1.1,v6.3.1.1,v6.3.1.1,v6.3.1.1,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),0550a0d114be34b217bdbe63347955efed6235c04323119412fee7a3d3ecf8e6,v6.3.0,v1.0.0.3,v2.0.1.0
2026-03-05,,,v6.3.1.0,Released,FCS,10,v6.3.1.0,~ v1.5.0.4,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,,,v34,v10,v12,v11,v2,v14,v8,v8,r2,v3,v2,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v6.3.1,v0.9.0,N/A,N/A,v6.3.1.0,v6.3.1.0,v6.3.1.0,v6.3.1.0,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),e4ad52c4c1886dbe67e1bb5286452299ee02134eab196968e99f2b7d0b4f68ce,v6.3.0,v1.0.0.3,v2.0.1.0
2026-02-04,2026-02-13,,v6.3.0.3,Released,FCS,40,v6.3.0.3,~ v1.5.0.4,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,,,v34,v10,v12,v11,v2,v13,v8,v8,r2,v3,v2,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v0.9.0,N/A,N/A,v6.3.0.3,v6.3.0.3,v6.3.0.3,v6.3.0.3,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),797f50e4706bb6443be5e24968e4f620466cd9ddf24cee1aab8772121b05e08c,v6.3.0,v1.0.0.3,v2.0.0.4
2026-01-27,,N/A,v6.3.0.2,Released,FCS,30,v6.3.0.2,~ v1.5.0.2,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,,,v34,v10,v12,v11,v2,v13,v8,v8,r2,v3,v2,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v0.9.0,N/A,N/A,v6.3.0.2,v6.3.0.2,v6.3.0.2,v6.3.0.2,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),39b44de9293194af0d13add7f8f05e43bdaa20b85532c40c202846777abd0ea1,v6.3.0,v1.0.0.3,v2.0.0.4
2026-01-22,2026-01-28,N/A,v6.3.0.1,Released,FCS,20,v6.3.0.1,~ v1.5.0.2,~ v3.5.20.0,~ v5.5.11.1,~ v1.3.11.1,~ v1.1.7.0 Patch,~ v1.2.5.0,~ v1.2.5.0,~ v1.2.5.1,~ v1.0.12.0,,,,v34,v10,v12,v11,v2,v13,v8,v8,r2,v3,v2,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v6.3.0,v0.9.0,N/A,N/A,v6.3.0.1,v6.3.0.1,v6.3.0.1,v6.3.0.1,PostgreSQL v15.5.1 (64bit),v5,v3,v1.28.0 (x86),v7.4.32 (x86),v3.6.6 (x86) modified by ES,"v12 (32bit) - AuthProvider
v18 (64bit) - Others",v5.15.5 (x86),v7.1.1 (x64),v19.0 (x86),v7.0.7 (x86),v1.1.1i,v4.13.3 (x64) - Unboxed,v3.31.0 (x64),91acd51175ceb6b3e8aae467f0482350b9aad6ecaa582f03549c4e001db7fca9,v6.3.0,v1.0.0.3,v2.0.0.4
